team_id,team_abbr,team_name,player_id,player_name,position,jersey_number,overall,scheme_overall,dev_trait,age,height,weight,years_pro,is_active,is_on_ir,is_practice_squad,injury_type,injury_length,contract_years_left,contract_salary,cap_hit,speed,acceleration,agility,strength,awareness,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,carrying,catching,route_running_short,route_running_mid,route_running_deep,tackling,man_coverage,zone_coverage,block_shedding,power_moves,finesse_moves
775553024,SF,49ers,553389126,Matt Birk,C,55,96,96,3,22,76,308,1,True,False,False,97,0,4,10000000,4000000,70,76,78,92,94,18,6,6,6,46,56,29,21,14,44,12,15,42,23,34
775553024,SF,49ers,553386703,Ethan Pocic,C,58,77,77,0,29,78,320,7,True,False,False,97,0,1,800000,800000,72,65,56,88,85,24,6,6,6,28,34,23,13,7,36,12,12,33,67,10
775553024,SF,49ers,553386824,Chris McAlister,CB,21,96,96,2,22,73,206,1,True,False,False,97,0,3,15000000,10000000,92,93,91,75,92,10,6,6,6,70,74,46,34,28,86,94,91,70,40,44
775553024,SF,49ers,553388188,Brandon Flowers,CB,40,93,93,3,22,71,198,6,True,False,False,97,0,2,6000000,5000000,88,90,86,78,89,36,6,6,6,50,61,30,20,12,92,90,93,85,55,85
775553024,SF,49ers,553387889,Darryl Johnson,CB,23,92,92,1,22,71,190,1,True,False,False,97,0,4,6200000,1750000,88,86,85,78,90,18,12,10,6,66,82,88,83,75,88,90,88,89,70,80
775553024,SF,49ers,553388376,Kaiir Elam,CB,5,77,77,1,23,73,191,2,True,False,False,97,0,2,1600000,850000,93,90,85,60,77,27,24,20,17,56,76,35,31,28,55,77,80,45,23,39
775553024,SF,49ers,553387412,Alontae Taylor,CB,1,75,75,0,25,73,199,2,True,False,False,97,0,1,800000,800000,94,94,81,60,78,44,42,35,30,63,72,43,40,36,41,70,76,15,21,42
775553024,SF,49ers,553389025,La'Roi Glover,DT,97,95,95,2,22,74,290,1,True,False,False,97,0,4,18000000,8500000,75,86,77,89,92,22,13,10,7,44,47,10,5,3,95,18,24,95,96,93
775553024,SF,49ers,553388958,Marcus Stroud,DT,99,92,92,2,25,78,310,2,True,False,False,97,0,4,7000000,2000000,70,77,70,94,88,20,17,14,12,68,45,30,26,20,95,28,32,91,94,80
775553024,SF,49ers,553388537,Siaki Ika,DT,93,67,67,0,23,76,358,1,True,False,False,97,0,1,800000,800000,59,68,54,90,71,21,13,7,5,22,25,12,7,5,73,9,10,76,79,50
